Item,list,Verbtype,group,semanticprime,Gfprime,Context,Sentence1,Target,Reference Question,Content question,Correct content answer (from context S),Incorrect content answer
p19,,sg,priming,source,subject,Ana and Will were looking through their old books.,Ana loaned a novel to Will,and then she organized her comic books.,Did Ana organize her comic books?,What were Ana and Will doing?,looking through their old books,cleaning the car
p19,,sg,priming,goal,nonsubj,Ana and Will were looking through their old books.,Ana loaned a novel to Will,and then he read it.,Did Ana read a novel?,What were Ana and Will doing?,looking through their old books,cleaning the car
p20,,sg,priming,source,subject,Ana and Will were having dinner at a fancy restaurant.,Ana offered some wine to Will,and then she tried the appetizer.,Did Will try the appetizer?,What did Ana offer to Will?,some wine,the salt
p20,,sg,priming,goal,nonsubj,Ana and Will were having dinner at a fancy restaurant.,Ana offered some wine to Will,and then he took a sip.,Did Will take a sip of wine?,What did Ana offer to Will?,some wine,the salt
p21,,sg,priming,source,subject,Liz was going skiing with Matt.,Liz loaned some gloves to Matt,and then she hit the slopes.,Did Matt hit the slopes?,What were Liz and Matt doing?,going skiing,playing baseball
p21,,sg,priming,goal,nonsubj,Liz was going skiing with Matt.,Liz loaned some gloves to Matt,and then he put them on.,Did Matt put gloves on?,What were Liz and Matt doing?,going skiing,playing baseball
p22,,sg,priming,source,subject,Liz and Will were working on a class paper together.,Liz sent an article to Will,and then she worked on an outline.,Did Will work on an outline?,What did Liz send to Will?,an article,a backpack
p22,,sg,priming,goal,nonsubj,Liz and Will were working on a class paper together.,Liz sent an article to Will,and then he took notes on it.,Did Will take notes on an article?,What did Liz send to Will?,an article,a backpack
p23,,sg,priming,source,subject,Liz and Matt were raking leaves outside.,Liz passed the rake to Matt,and then she jumped in the pile of leaves.,Did Liz jump in the pile of leaves?,What did Liz pass to Matt?,the rake,the skates
p23,,sg,priming,goal,nonsubj,Liz and Matt were raking leaves outside.,Liz passed the rake to Matt,and then he raked the entire front yard.,Did Liz rake the entire front yard?,What did Liz pass to Matt?,the rake,the skates
p24,,sg,priming,source,subject,Liz and Will were cleaning the car.,Liz passed the soap to Will,and then she turned on the hose.,Did Liz turn on the hose?,What were Liz and Will doing?,cleaning the car,walking the dog
p24,,sg,priming,goal,nonsubj,Liz and Will were cleaning the car.,Liz passed the soap to Will,and then he soaped up the car.,Did Liz soap up the car?,What were Liz and Will doing?,cleaning the car,walking the dog
p25,,sg,priming,source,subject,Matt and Ana were cooking dinner.,Matt handed the salt to Ana,and then he made a salad.,Did Ana make a salad?,What did Matt hand to Ana?,the salt,an article
p25,,sg,priming,goal,nonsubj,Matt and Ana were cooking dinner.,Matt handed the salt to Ana,and then she seasoned the chicken.,Did Ana season the chicken?,What did Matt hand to Ana?,the salt,an article
p26,,sg,priming,source,subject,Matt and Liz were getting ready for the holidays.,Matt mailed the Christmas card to Liz,and then he bought more stamps.,Did Matt buy more stamps?,What were Matt and Liz doing?,getting ready for the holidays,going skiing
p26,,sg,priming,goal,nonsubj,Matt and Liz were getting ready for the holidays.,Matt mailed the Christmas card to Liz,and then she read it.,Did Matt read the Christmas card?,What were Matt and Liz doing?,getting ready for the holidays,going skiing
p27,,sg,priming,source,subject,Matt and Ana were walking the dog.,Matt brought the ball to Ana,and then he pet the dog.,Did Matt pet the dog?,What were Matt and Ana doing?,walking the dog,looking through their old books
p27,,sg,priming,goal,nonsubj,Matt and Ana were walking the dog.,Matt brought the ball to Ana,and then she threw the ball to the dog.,Did Matt throw the ball to the dog?,What were Matt and Ana doing?,walking the dog,looking through their old books
p28,,sg,priming,source,subject,Matt and Liz were cleaning up after a dinner party.,Matt gave a stack of dishes to Liz,and then he swept the floor.,Did Liz sweep the floor?,What did Matt give to Liz?,a stack of dishes,some wine
p28,,sg,priming,goal,nonsubj,Matt and Liz were cleaning up after a dinner party.,Matt gave a stack of dishes to Liz,and then she put them in the dishwasher.,Did Liz put the dishes in the dishwasher?,What did Matt give to Liz?,a stack of dishes,some wine
p29,,sg,priming,source,subject,Will and Liz were grocery shopping.,Will gave the credit card to Liz,and then he browsed the magazines.,Did Will browse the magazines?,What were Will and Liz doing?,grocery shopping,getting ready for the holidays
p29,,sg,priming,goal,nonsubj,Will and Liz were grocery shopping.,Will gave the credit card to Liz,and then she got in line to check out.,Did Will get in line to check out?,What were Will and Liz doing?,grocery shopping,getting ready for the holidays
p30,,sg,priming,source,subject,Will and Ana were going ice skating.,Will brought the skates to Ana,and then he put his gloves on.,Did Ana put her gloves on?,What did Will bring to Ana?,the skates,a stack of dishes
p30,,sg,priming,goal,nonsubj,Will and Ana were going ice skating.,Will brought the skates to Ana,and then she put them on.,Did Ana put her skates on?,What did Will bring to Ana?,the skates,a stack of dishes
p31,,sg,priming,source,subject,Will and Liz were watching the basketball game.,Will handed the popcorn to Liz,and then he got a slice of pizza.,Did Will get a slice of pizza?,What were Will and Liz doing?,watching the basketball game,grocery shopping
p31,,sg,priming,goal,nonsubj,Will and Liz were watching the basketball game.,Will handed the popcorn to Liz,and then she took a handful.,Did Will take a handful of popcorn?,What were Will and Liz doing?,watching the basketball game,grocery shopping
p32,,sg,priming,source,subject,Will and Ana were doing their laundry at the laundromat.,Will threw the detergent to Ana,and then he folded his clothes.,Did Ana fold her clothes?,What did Will throw to Ana?,the detergent,the rake
p32,,sg,priming,goal,nonsubj,Will and Ana were doing their laundry at the laundromat.,Will threw the detergent to Ana,and then she started the washer.,Did Ana start the washer?,What did Will throw to Ana?,the detergent,the rake
