Item,list,Verbtype,group,semanticprime,Gfprime,Context,Sentence1,Target,Reference Question,Content question,Correct content answer (from context S),Incorrect content answer
s11,2,sg,critical,na,,Will and Matt were arriving home at different times.,Will loaned an extra key to Matt,and then he took the bus home.,Did Will take the bus home?,What were Will and Matt doing?,arriving home at different times,throwing away the trash
p07,,gs,priming,source,nonsubj,Liz and Will were passing notes in class.,Liz received a note from Will,and then he looked the other way.,Did Will look the other way?,What did Liz receive from Will?,a note,a serving spoon
p18,,sg,priming,source,subject,Ana and Matt were going hiking.,Ana loaned a backpack to Matt,and then she grabbed some snacks.,Did Matt grab some snacks?,What did Ana loan to Matt?,a backpack,the detergent
s09,2,gs,critical,na,,Liz and Ana were throwing away the trash.,Liz collected the garbage from Ana,and then she left the apartment.,Did Liz leave the apartment?,What were Liz and Ana doing?,throwing away the trash,cleaning up the apartment
p03,,gs,priming,source,nonsubj,Ana and Matt were playing basketball.,Ana got the ball from Matt,and then he ran down the court.,Did Ana run down the court?,What were Ana and Matt doing?,playing basketball,watching TV
p32,,sg,priming,source,subject,Will and Ana were doing their laundry at the laundromat.,Will threw the detergent to Ana,and then he folded his clothes.,Did Ana fold her clothes?,What did Will throw to Ana?,the detergent,the rake
s02,2,gs,critical,na,,Ana and Liz were getting ready to go shopping.,Ana snatched the coupons from Liz,and then she wrote a shopping list.,Did Liz write a shopping list?,What did Ana snatch from Liz?,the coupons,the popcorn
p28,,sg,priming,source,subject,Matt and Liz were cleaning up after a dinner party.,Matt gave a stack of dishes to Liz,and then he swept the floor.,Did Liz sweep the floor?,What did Matt give to Liz?,a stack of dishes,some wine
p16,,gs,priming,source,nonsubj,Will and Ana were planning a party.,Will snatched the guest list from Ana,and then she refused to help any more.,Did Will refuse to help anymore?,What were Will and Ana doing?,planning a party,dividing up the rent for the apartment 
s03,2,sg,critical,na,,Ana and Liz were cleaning up the apartment.,Ana offered the broom to Liz,and then she tidied up the kitchen.,Did Ana tidy up the apartment?,What were Ana and Liz doing?,cleaning up the apartment,texting in class
p23,,sg,priming,source,subject,Liz and Matt were raking leaves outside.,Liz passed the rake to Matt,and then she jumped in the pile of leaves.,Did Liz jump in the pile of leaves?,What did Liz pass to Matt?,the rake,the skates
p04,,gs,priming,source,nonsubj,Ana and Will were going to a concert.,Ana accepted a ride from Will,and then he paid for parking too.,Did Will pay for parking too?,What did Ana accept from Will?,a ride,the instructions
s08,2,sg,critical,na,,Liz and Ana were attending a concert.,Liz offered the tickets to Ana,and then she waited in line.,Did Ana wait in line?,What did Liz offer to Ana?,the tickets,the gift
p24,,sg,priming,source,subject,Liz and Will were cleaning the car.,Liz passed the soap to Will,and then she turned on the hose.,Did Liz turn on the hose?,What were Liz and Will doing?,cleaning the car,walking the dog
p14,,gs,priming,source,nonsubj,Will and Ana were fishing in the lake.,Will retrieved the fishing pole from Ana,and then she got a drink from the cooler.,Did Will get a drink from the cooler?,What did Will retrieve from Ana?,the fishing pole,a note
s04,2,sg,critical,na,,Matt and Will were playing arcade games.,Matt gave the quarters to Will,and then he chose a game.,Did Will choose a game?,What did Matt give to Will?,the quarters,the notebook
p11,,gs,priming,source,nonsubj,Matt and Ana were participating in a gift exchange.,Matt accepted the gift from Ana,and then she smiled.,Did Ana smile?,What did Matt accept from Ana?,the gift,the fishing pole
s12,2,gs,critical,na,,Will and Matt were watching a movie.,Will took the popcorn from Matt,and then he drank some soda.,Did Matt drink some soda?,What did Will take from Matt?,the popcorn,a pencil
p22,,sg,priming,source,subject,Liz and Will were working on a class paper together.,Liz sent an article to Will,and then she worked on an outline.,Did Will work on an outline?,What did Liz send to Will?,an article,a backpack
s06,2,gs,critical,na,,Matt and Will were at a flower shop.,Matt took the flowers from Will,and then he walked up to the counter.,Did Matt walk up to the counter?,Where were Matt and Will at?,a flower shop,the gym
